title	description	topic	signum
Taylor Swift returns to Rio stage after postponing Eras Tour concert, fan death	Taylor Swift resumed The Eras Tour in Brazil after canceling concert on Nov. 18 due to record heatwave across Rio. One fan died Friday after fainting outside stadium.		
Patrick Mahomes approves of Travis Kelce's relationship with Taylor Swift: 'It's not become a distraction'	Chiefs quarterback Patrick Mahomes gave his stamp of approval of Travis Kelce's relationship with Taylor Swift, saying it's not a distraction to the guys in the locker room.		
NFL Week 11 preview: Chiefs-Eagles headline schedule as eyes turn back to Travis Kelce, Taylor Swift	NFL fans and the pop culture world will likely be tuning in Monday night for the Kansas City Chiefs and Philadelphia Eagles, but don't count out Sunday's slate.		
Taylor Swift postpones Brazil concert due to 'extreme temperatures'	"Taylor Swift announced that her Saturday night Eras concert in Rio de Janeiro has been postponed due to ""extreme temperatures."""		
Taylor Swift fan details scorching, 'sauna-like' conditions at Brazil show that left 23-year-old dead	A passionate Taylor Swift fan gave a glimpse of her experience at the chaotic Brazil concert that left a 23-year-old person dead after severe weather conditions.		
Taylor Swift’s dad gets apology from Travis Kelce; Will Smith, Jada Pinkett Smith deny cheating claims	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Taylor Swift ‘devastated’ as fan dies before Brazil concert	A Taylor Swift fan died before her opening night concert in Rio de Janeiro, Brazil, Friday. Swift shared a statement on her social media mourning the loss of the fan.		
Taylor Swift hints Travis Kelce romance is serious with these subtle clues	Taylor Swift has dropped subtle clues about her relationship with Travis Kelce. Her fans have picked up on hints the romance is getting serious during The Eras Tour.		
Philadelphia radio station says it won't play Taylor Swift songs ahead of Eagles-Chiefs Super Bowl rematch	The Kansas City Chiefs host the Philadelphia Eagles Monday night, and a Philly radio station is banning Taylor Swift songs until after the game.		
Drew Barrymore doesn't want plastic surgery: 'I worry I'd continue to chase it'	"Drew Barrymore says that she's never had plastic surgery and doesn't picture herself getting any, saying her ""highly addictive personality"" might cause her to go overboard."		
'Trolls 3' director taps into NSYNC fever, 90s nostalgia in latest installment of hit series	"The director of ""Trolls 3"" reflects on how his film's NSYNC reunion melted millennial hearts and why the famed boy band's music continues to resonate decades later."		
Taylor Swift honored on Christ the Redeemer statue: 'Welcome to Brazil'	"Taylor Swift was honored with a projection on Brazil's Christ the Redeemer statue of a shirt inspired by the superstar's ""Junior Jewels"" shirt from her ""You Belong With Me"" music video."		
'Kelce' becomes a top trending dog name in America, pet company's data shows	"Recent data from Rover has shown that a top trending dog name in America right now is ""Kelce,"" amid coverage of the Kansas City Chiefs player and girlfriend Taylor Swift."		
Michigan's Jim Harbaugh agrees to serve 3-game ban, Big Ten drops sign-stealing investigation	Michigan coach Jim Harbaugh agreed to serve a 3-game suspension over the school's sign-stealing scandal and the Big Ten has dropped its investigaton.		
3 ways to increase your privacy and save money when booking travel	"Kurt ""CyberGuy"" Knutsson takes on protecting privacy and saving money while booking travel plans through the use of creating an email alias."		
DC pro-Palestinian protest turns violent, Senate averts shutdown, passes funding bill and more top headlines	Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.		
Taylor Swift, Travis Kelce's long distance romance has fans anticipating next rendezvous	Taylor Swift embarks on Brazilian leg of her Eras Tour this week through Thanksgiving, leaving little time for new romance with boyfriend Travis Kelce.		
JESSE WATTERS: The chemistry between Biden and Xi was unmistakable	"Jesse Watters highlights how President Biden cozied up to president Xi during their meeting in San Francisco on ""Jesse Watters Primetime."""		
Taylor Swift tour may prevent Thanksgiving at home with Travis Kelce	Taylor Swift's first Thanksgiving with Travis Kelce may be over FaceTime as she continues Eras Tour in Brazil while he plays football with Kansas City Chiefs.		
Patriots legend Rob Gronkowski says Mac Jones should ask for release now: 'He's not respected'	Mac Jones' tenure with the New England Patriots has hit rock bottom at 2-8 in his third season, and legend Rob Gronkowski believes he should ask for his release now.		
'Brady Bunch' star Barry Williams, 69, shocks 'DWTS' crowd by ripping off shirt: 'I'm gonna chuckle forever'	"'Brady Bunch' star Barry Williams, 69, reflected on his ""Dancing with the Stars"" experience with Fox News Digital as he exits the competition after being eliminated."		
Travis Kelce issues apology to Taylor Swift's dad Scott after concert flub	Travis Kelce spilled on his trip to Argentina to visit girlfriend Taylor Swift and hilariously apologized to her father, Scott, for an awkward flub he made during the concert.		
Taylor Swift, Travis Kelce meet the parents: Who's who in each famous family	As Taylor Swift and Travis Kelce's relationship continues to grow, they have been spotted spending time with each other's parents, who appear to be supportive of the romance.		
Travis Kelce, Taylor Swift budding relationship draws wholesome remark from Andy Reid	Kansas City Chiefs head coach Andy Reid remarked on Travis Kelce's relationship with Taylor Swift as he spent his bye week in Argentina to see the pop star.		
Taylor Swift surprises Travis Kelce at concert, pleads with fans to stop throwing things on stage	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Taylor Swift jokes about witchcraft, 'never beating the sorcery allegations' after crazy concert moment	Taylor Swift is poking fun at long-standing rumors that she is a witch, sharing a bizarre moment from her Argentina shows that points to that narrative.		
Taylor Swift, Travis Kelce's PDA signals NFL player is 'endgame' for pop star: expert	"Taylor Swift and Travis Kelce took their relationship public during the ""Karma"" singer's ""Eras Tour"" with new lyrics and a kiss. Experts explain the change in Swift's stance on privacy."		
Bills penalty results in heartbreaking loss after Broncos get second chance at game-winning field goal	The Denver Broncos sealed the deal against the Buffalo Bills, 24-22, on Monday night after getting another chance to kick a game-winning field goal following a Bills penalty.		
SNL's Hamas joke in Timothée Chalamet skit infuriates pro-Palestinian voices online	"A ""Saturday Night Live"" skit that included a joke about Hamas infuriated pro-Palestinian voices over the weekend, who said it made light of ""genocide."""		
US professors use pop culture icons like Taylor Swift and Rick Ross to make law school more engaging	Law professors across the U.S. are incorporating pop culture icons like Taylor Swift and Rick Ross into their courses in an effort to engage students.		
Taylor Swift pleads with fans after item is thrown onstage during Eras Tour concert: ‘It really freaks me out’	After objects were thrown onstage, Taylor Swift politely asked her audience in Argentina to refrain, as it endangers her dancers and scares her.		
Young Taylor Swift played a song backstage for Britney Spears during 'Oops! ... I Did it Again' tour	"Britney Spears reflected upon meeting a young Taylor Swift, before she was famous, at her own ""Oops! ... I Did It Again"" tour. Spears says Swift played her a song on the guitar."		
Taylor Swift runs to kiss Travis Kelce after he attends her second Eras show in Argentina	Taylor Swift and Travis Kelce shared a kiss after the singer rushed into the NFL star's arms following her second Eras tour concert in Argentina.		
Taylor Swift postpones Argentina concert after Travis Kelce arrives	"Taylor Swift canceled the Nov. 10 concert of the international leg of ""The Eras Tour"" due to ""chaotic"" weather. Her rumored boyfriend, Travis Kelce, just arrived in the country."		
Taylor Swift fans go wild as she sings about 'falling in love again' while kicking off international tour	"Taylor Swift shocked fans Thursday by singing about ""falling in love again"" amid her romance with NFL star Travis Kelce. The pop star performed ""Labyrinth"" in Buenos Aires for the first time on her Eras Tour."		
GREG GUTFELD: Hillary Clinton's interview on 'The View' shows she's still 'hung up' on Trump	"FOX News host Greg Gutfeld reacts to Hillary Clinton's Trump focused interview on ""The View"" on ""Gutfeld!"""		
Mom told to remove decorations from son's gravesite — plus Taylor Swift 'swear jar' goes viral	The Fox News Lifestyle Newsletter brings you trending stories on family, travel, food, neighbors helping neighbors, pets, autos, military veterans, heroes, faith and American values.		
Travis Kelce will travel to Argentina to see Taylor Swift's 'Eras Tour': report	"Kansas City Chiefs tight end Travis Kelce is going to use the bye week to reportedly head down to Argentina in support of Taylor Swift's ""Eras Tour"" beginning international stops."		
2023 CMAs co-hosts Luke Bryan, Peyton Manning joke about Taylor Swift, Travis Kelce at award show	The 2023 CMA Award co-hosts, Luke Bryan and Peyton Manning, took a moment during the show to make a Taylor Swift, Travis Kelce joke. Manning also poked fun at the New York Jets.		
Couple's viral 'Taylor Swift Jar' has wife paying a quarter whenever she mentions the star	"A Maryland realtor and her husband went viral after a ""Taylor Swift Jar"" was made. If someone mentions Swift or Travis Kelce, a quarter is required to be added to the jar."		
Chiefs' Travis Kelce hints at traveling to South America to support Taylor Swift's tour during team's bye week	During a recent podcast episode, two-time Super Bowl champion Travis Kelce played coy about potentially traveling to South America to take in one of Taylor Swift's Eras Tour shows.		
Taylor Swift & Brittany Mahomes party before Chiefs game, King Charles' reported control over Harry & Meghan	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Taylor Swift supports Travis Kelce with rare social media move	Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.		
Giants' Daniel Jones suffers torn ACL, season likely over for star QB	New York Giants quarterback Daniel Jones will miss the rest of the season as Brian Daboll announced he tore his ACL in Sunday's game against the Las Vegas Raiders.		
Travis Kelce faces jabs after another quiet game without Taylor Swift in attendance	Kansas City Chiefs tight end Travis Kelce faced some ribbing on social media as he had another quiet game with Taylor Swift not in attendance.		
Chiefs' wild fumble-return sequence leads to improbable touchdown vs Dolphins	A wild fumble return helped the Kansas City Chiefs take a comfortable lead into halftime against the Miami Dolphins in Germany on Sunday.		
Can Republicans flip New Jersey’s state legislature from blue to red?	New Jersey Republicans face a tough challenge Nov. 7, with Democrats in control of both chambers of state government and the governor's office		
Travis Kelce asked if he's 'in love' with Taylor Swift, addresses relationship 'status'	"Travis Kelce and Taylor Swift are all but officially official, which prompted a reporter in Germany to ask the Chiefs star if he's ""in love."""		
Travis Kelce's mom explains why Chiefs star has taken game to 'new level' amid Taylor Swift relationship	Travis Kelce's relationship with Taylor Swift led some to believe he wouldn't perform well for the Chiefs this season, but his mother, Donna Kelce, explained why it motivates him more.		
Travis Kelce plays into joke that Taylor Swift 'put me on the map'	"Travis Kelce is getting in on the joke that Taylor Swift put him ""on the map."" The narrative even inspired a couple's Halloween costume, which Kelce ""enjoyed."""		
Donna Kelce talks NFL's new viewership due to Taylor Swift's presence: 'I'm sure they're extremely happy'	Donna Kelce, the mother of Jason and Travis Kelce, discussed how she believes the NFL feels with Taylor Swift's presence at Kansas City Chiefs games resulting in boosted ratings.		
Diet Coke-obsessed mom from Kentucky reveals her viral collection and 'the joy it brings me'	A viral Diet Coke lover from Kentucky — a mom named Beth Sturgill — has come forward to share her soft drink memorabilia; it's all found inside her Lexington home. See the pix!		
Kelly Clarkson ripped her pants while filming 'Since You've Been Gone' music video: ‘I was commando’	"Kelly Clarkson revealed that she ripped her pants while filming the music video for ""Since You've Been Gone,"" when speaking to Kyle Richards."		
Travis Kelce faces criticism from Chiefs great for World Series attendance: 'Let this be a lesson'	Kansas City Chiefs great Nick Lowery took issue with Travis Kelce making an appearance at the World Series before the team was in Denver and lost to the Broncos.		
Taylor Swift skips Travis Kelce's football games for Eras Tour prep	Taylor Swift has been a staple at Travis Kelce's Kansas City Chiefs games as of late, but she missed a recent game to focus on her upcoming Eras Tour stops in South America.		
Fox News Politics: The next ambassador to Israel	The latest updates from the 2024 campaign trail, exclusive interviews and more Fox News politics content		
Taylor Swift, Travis Kelce Halloween costume wins friends a top prize: See their rendition of the stars	Florida friends dressed up as Taylor Swift and Travis Kelce for a Halloween costume contest and took home the grand prize. See the pair mimick the iconic duo!		
NJ Gov Phil Murphy used thousands in taxpayer funds to party at Taylor Swift concert, stadium events: report	New Jersey Gov. Phil Murphy reportedly spent nearly $12,000 in taxpayer funds at MetLife stadium since 2018, including at a Taylor Swift concert.		
‘Five Nights at Freddy’s’ dominates Halloween weekend with $78 million debut in North America	"The simultaneous release of ""Five Nights at Freddy's"" in theaters and on streaming had little impact on the film's success on the big screen Halloween weekend."		
Broncos troll Chiefs by blasting Taylor Swift hit throughout the stadium after major upset	The Denver Broncos had a little fun at the expense of Chiefs' star Travis Kelce after they defeated Kansas City on Sunday for the first time since 2015.		
Literary legend haunted hotel for 53 years until neglected remains buried with family in NYC, say historians	The ashes of American literary icon Dorothy Parker reportedly haunted the Algonquin Hotel for more than 50 years, before she was buried beside family in New York City.		
Matthew McConaughey, Sharon Osbourne, Helena Bonham Carter share ghost stories: 'Something weird happened'	Sharon Osbourne, Matthew McConaughey, Helena Bonham Carter, Lily Collins and Megan Mullally share their stories of ghosts and hauntings.		
AJ Brown sets NFL record as Eagles use second-half surge to beat Commanders	Philadelphia Eagles star wide receiver A.J. Brown was back dazzling everyone on Sunday as he broke the NFL record for most 125-plus receiving yards in six straight games.		
Halloween candy vs. healthy parenting: Here's how to make it all work	Parenting is hard, especially with candy companies trying turn Halloween into an all-year sugar-buzz festival. We can help them grow without ruining their childhoods.		
Chiefs star Travis Kelce dances to Taylor Swift's 'Shake It Off' at World Series game	The Kansas City Chiefs star broke out some dance moves to one of Taylor Swift's hit songs during his appearance at Game 1 of the World Series between the Rangers and Diamondbacks.		
Jennifer Lawrence's full-frontal nude scene; Morgan Wallen looks for love	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Taylor Swift to likely miss Travis Kelce's Chiefs game this Sunday as 'Eras Tour' nears return: reports	The Grammy Award winning singer has become a fixture at Chiefs home and road games so far this season, where she has supported Travis Kelce from luxury suites.		
Patrick Mahomes wants to 'one-up' Taylor Swift and his wife's handshake with Travis Kelce	When Taylor Swift and Patrick Mahomes' wife went viral for their two handshakes, the quarterback realized he didn't have one with Travis Kelce.		
Taylor Swift releases reimagined '1989' album, reviving nostalgia during new era of career	"Taylor Swift has released her reimagined ""1989"" album. The original album marked the beginning of her singing career's shift from country to pop and now is being revisited."		
US strikes Iran-linked sites in Syria, elite border unit joins hunt for Maine suspect and more top headlines	Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.		
Taylor Swift embraced by Travis Kelce's Kansas City Chiefs crew: 'She's letting her guard down,' expert says	"Taylor Swift has been welcomed like ""family"" into Travis Kelce's Kansas City Chiefs crew, according to a body language expert who analyzed the pop star's moves with her new friends."		
Rob Gronkowski says NFL is overdoing it with Taylor Swift coverage during games: ‘We want more football’	"Rob Gronkowski thinks the NFL is giving Taylor Swift “too much"" screen time during games and says the league should “show the players"" more."		
Taylor Swift and Travis Kelce relationship works because ‘they’re very supportive of each other,’ his dad says	"Taylor Swift will soon release her next re-recorded album, and Travis Kelce's dad will be in line to purchase as he boasted that the ""Cruel Summer"" singer is ""very genuine."""		
Eagles' Jason Kelce expresses concern for brother Travis Kelce amid budding romance with Taylor Swift	"Jason Kelce is ""happy"" for brother Travis Kelce amid his budding romance with pop sensation Taylor Swift, but he does have one possible concern."		
GOP confident Johnson will be speaker, Biden megadonor criticized for tech board seat and more top headlines	Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.		
Taylor Swift, Travis Kelce break NFL WAG curse: Jessica Simpson, Carrie Underwood once blamed for losses	Taylor Swift and Travis Kelce's new relationship fills the blank space that the NFL needs to recover from the alleged curse when Hollywood stars date football players.		
In time for Halloween, Washington driver caught in HOV lane with creepy clown dummy and assessed scary ticket	A driver was caught by the Washington State Patrol in the high-occupancy vehicle lane with a creepy Halloween clown tied to the passenger seat.		
NFL Player on RB Contract Debate: 'If I Was Ever a GM, I Would Never Pay a RB'	It's not only NFL general managers who don't want to hand out big-money contracts to running backs. In a player survey conducted by The Athletic, one player…		
Fantasy Football Week 11: Examining Trade Value for This Year's Top 100 Players	Let's be honest—if you are reading this, your fantasy team probably isn't good enough to win a title and you are scouring the trade market, hoping to fleece…		
Fantasy Football Week 10: Updated Trade Value for Top 100 Players	There have been so many injuries in the NFL—especially at the quarterback position—that patching together a fantasy lineup has probably felt like attempting…		
Cowboys vs. Eagles Draws 27.1M Viewers, Most-Watched NFL Game of 2023 Season	Sunday's thrilling contest between the Dallas Cowboys and Philadelphia Eagles did massive numbers for Fox. According to Fox Sports public relations, the…		
Eagles' Jason Kelce to Feature in People Magazine's 2023 'Sexiest Man Alive' Edition	Philadelphia Eagles center Jason Kelce will be featured in People magazine's upcoming Sexiest Man Alive issue. People revealed six men, including Kelce, who…		
NHL Style Rankings: B's, Canadiens Continue Rivalry off Ice; A Legend Goes Shirtless	Remember two weeks ago, during the first installment of the third season of the OG NHL Style Rankings, when I said the guys were off to a slow fashion start…		
Fantasy Football Big Board: Complete 2023 PPR Player Rankings for Week 9	"It's Week 9 of the 2023 fantasy football campaign. We're past the halfway point, but not quite at the stretch run. Call it ""last chance"" time. Sure, there are…"		
Fantasy Football Big Board: Complete 2023 PPR Player Rankings for Week 8	Well folks, we're halfway home. Seven weeks into the 2023 fantasy football season, we've hit the midway point. It's a half-season that has gone very…		
Patrick Mahomes, Travis Kelce Excite Fans as Chiefs Beat Justin Herbert, Chargers	The Kansas City Chiefs earned their sixth straight win Sunday thanks to historic outings by two of the team's star players. Quarterback Patrick Mahomes topped…		
Taylor Swift's Rio de Janeiro tour scarred by deaths, muggings, heat-related illnesses	The deaths of two people, heat-related illnesses and other misfortunes have left legions of Taylor Swift fans angry and disappointed in the three-day Rio de Janeiro leg of the pop superstar’s Eras Tour		
Kelce Bowl: Chiefs' Travis, Eagles' Jason the center of attention in a Super Bowl rematch	You can’t go anywhere these days without hearing or seeing something that has to do with Eagles center Travis Kelce and his younger brother and Chiefs tight end Travis Kelce		
What to stream this week: 'Oppenheimer,' Adam Sandler as a lizard and celebs dance to Taylor Swift	This week’s new entertainment releases include Adam Sandler playing a 74-year-old elementary class lizard in the latest Netflix animation offering “Leo” and “Oppenheimer” finally arriving on home screens		
Taylor Swift fan dies before 'The Eras Tour' concert in Rio de Janeiro, Brazil	Taylor Swift fan dies before 'The Eras Tour' concert in Rio de Janeiro, Brazilgo.com		
'A noisy rock 'n' roll': How growing interest in Formula One is felt across the music world	Beyond the engineering, the athleticism, the speed, the luxury, fans love the sound of Formula One		
2024 Grammy nomination snubs and surprises: No K-pop, little country and regional Mexican music	With new categories, “Barbie” and SZA — there’s a lot to discuss regarding the 2024 Grammy Award nominations		
Partial list of nominees for the 66th Grammy Awards	The nominees for next year's Grammy Awards have been announced		
Movie Review: Nicolas Cage finds fame to be highly overrated in chillingly funny ‘Dream Scenario’	Nicolas Cage, perhaps best known for his onscreen volatility, takes a fascinating swerve to play a mundane, schlubby, balding professor at nowhere famous in Kristoffer Borgli's “Dream Scenario.”		
Court arguments begin in effort to bar Trump from presidential ballot under 'insurrection' clause	Court arguments are beginning in the effort to bar former President Donald Trump from running for his old job again		
From country to pop, 2014 nostalgia to 2023 reality — it's time for Taylor Swift's '1989'	Taylor Swift’s reimagined “1989” is here, the album that ushered in the first Peak Swift era — revisited at the height of her massive pop culture dominance		
Country musician Megan Moroney says she writes sad songs for sad people. It's making her a star.	Not so long before her platinum single “Tennessee Orange” became inescapable on country radio, Megan Moroney was attending the University of Georgia		
Chiefs' Travis Kelce has been taking his play to a new level with Taylor Swift in the house	Kansas City Chiefs tight end Travis Kelce has been taking his play to a new level whenever Taylor Swift is in the house		
What to stream this week: '1989 (Taylor’s Version),' Emily Blunt and 'Five Nights at Freddy’s'	This week’s new entertainment releases include Taylor Swift's “1989 (Taylor’s Version),” a glossy look at opioid addiction with the movie “Pain Hustlers” starring Emily Blunt, Chris Evans and Andy Garcia, and the streaming horror flick “Five Nights at ...		
"Swift bests Scorsese at box office, but 'Killers of the Flower Moon"" opens strongly"	In a movie match-up almost as unlikely as “Barbie” and “Oppenheimer,” Martin Scorsese took on Taylor Swift in cinemas over the weekend		
NFL Week 7 recap: Bill Belichick gets 300th regular-season win; Hurts rebounds to lift Eagles over Dolphins	Mac Jones threw a 1-yard touchdown pass to Mike Gesicki with 12 seconds remaining to lift the New England Patriots to a 29-25 win over the Buffalo Bills on Sunday, making Bill Belichick the third coach in NFL history with…		
Restored iPod models are selling out at retailers after only a year of being discontinued	Urban Outfitters is selling restored fifth generation iPods to Gen Z – and they're selling like hotcakes.		
Brazil has recorded its hottest temperature ever, breaking 2005 record	Brazil recorded its hottest-ever temperature on Sunday, as thermometers in the small city of Araçuaí hit 112.6 Fahrenheit.		
Eagles troll Chiefs with Taylor Swift reference after big win	"The team posted a picture of a green friendship bracelet that read ""Eagles win"" on Instagram​ following their 21-17 victory on Monday."		
Taylor Swift's parents to meet Travis and Jason Kelce's for first time at Eagles-Chiefs game: report	Taylor Swift's parents to meet Travis and Jason Kelce's for first time at Eagles-Chiefs game: reportcbsnews.com		
How to watch tonight's San Francisco 49ers vs. Minnesota Vikings game on Monday Night Football	The Vikings will try for a Minnesota Miracle to score their first win over the San Francisco 49ers since 2018.		
How to watch today's Atlanta Falcons vs. Tampa Bay Buccaneers game: Livestream options, Week 7 schedule, more	The Tampa Bay Buccaneers look to bounce back in a Week 7 divisional matchup against the Atlanta Falcons.		
How to watch today's Pittsburgh Steelers vs. Los Angeles Rams game	Aaron Donald and the LA Rams face Kenny Pickett and the Pittsburgh Steelers today. Here's how to watch.		
NFC showdown: How to watch today's Arizona Cardinals vs. Seattle Seahawks game	It's going to be tough for the Arizona Cardinals to beat the Seattle Seahawks at home, but this Cardinals squad is full of surpises.		
How to watch today's Miami Dolphins vs. Philadelphia Eagles game: Livestream options, kickoff time	Two 5-1 teams face off for the game of Week 7 when the Miami Dolphins hit the road vs the Philadelphia Eagles.		
How to watch today's Cleveland Browns vs. Indianapolis Colts game: Kickoff time, livestream options, more	Deshaun Watson is expected to return for the Cleveland Browns' Week 7 game against the Indianapolis Colts.		
How to watch today's Buffalo Bills vs. New England Patriots game: Livestream options, kickoff time, more	The Bills are 6-1 against the Tom Brady-less Patriots, but over confidence could send the Bills home with a loss.		
Jason Kelce Knew Travis Was 'Beating Himself Up Pretty Good' After MNF Loss	The Eagles star got his first NFL win over his younger brother, who struggled through a frustrating game for the Chiefs.		
Kellyanne Conway's Daughter Backs Campaign to Oust Harry Jowsey From 'DWTS'	"Claudia Conway showed support for a campaign to see Jowsey eliminated from ""DWTS""—and the reason is all about Taylor Swift."		
Video of Patrick Mahomes, Wife Brittany's Kiss Goes Viral	"""She made him sleep on the sofa after the game,"" joked one football fan."		
How Taylor Swift and Travis Kelce's First Meeting Unfolded	"The Kansas City Chiefs tight end revealed he had ""someone playing Cupid"" on Taylor Swift's team."		
Jason Kelce, D'Andre Swift Execute Elite 'Swift Kelce' Troll Before MNF	Jason Kelce and D'Andre Swift walked out of the tunnel together before the Eagles took on the Chiefs on Monday.		
Travis Kelce Crashed ESPN's Monday Night Football Set (and Had Mic Issues)	The Kansas City Chiefs star seemed excited and ready for the Super Bowl rematch against the Eagles and his brother Jason.		
'Kelce Bowl:' 5 Facts About Jason, Travis Kelce as Eagles, Chiefs Face Off	"The Chiefs (7-2) host the Eagles (8-1) at 8:15 p.m. ET in a prime-time ""Monday Night Football"" showdown and Super Bowl rematch."		
Caesars Sportsbook Promo Code for MNF: Use NEWSWK1000 to Get $1,000 Bet	Caesars Sportsbook promo code NEWSWK1000 will unlock a $1,000 first bet for Eagles-Chiefs on Monday Night Football.		
Here's the Real Threat from AI Right Now (Just Ask My Son)	A content farm used AI to write the author's biography. Most of it was wrong.		
Jason Kelce Came Into Her Hot Dog Restaurant and 'Tried To Roast the Queen'	The Eagles center made a good impression on employees at Wiener's Circle, including resident trash-talker Poochie Rollins.		
Patrick Mahomes Joining ESPN's ManningCast After Failed 'Audition' For Show	The Kansas City Chiefs quarterback was featured in an Omaha Productions skit with Peyton and Eli Manning over the summer.		
Josh Dobbs Isn't a Just Viral Story, He's a Valuable Lesson for Sports Fans	While the Vikings quarterback has become the talk of the NFL over the past couple of weeks, he's more than just a feel-good story.		
Biden Gets Bad Economic News as Polls Spell Disaster	Consumers expect inflation to be high in 2024 just as President Joe Biden will be seeking re-election.		
Brittany Mahomes' Skims Ad Sparks Backlash	Brittany and Patrick Mahomes star in a campaign for Kim Kardashian's Skims clothes brand ahead of the holidays.		
Harry Styles Made a Big Change and Fans Are Shaken	Fans have taken to X, formerly known as Twitter, to share their heartbreak over the singer's shock decision.		
Jason Kelce (Not Travis) Named One of People's Sexist Men Alive	"The Philadelphia Eagles center told the publication he and his family are ""just trying to have fun"" as his fame soars."		
Donald Trump's January 6 Choir Comes Back To Haunt Him	Special prosecutor Jack Smith says that Trump's use of recordings of the choir at campaign rallies shows that he is glorifying the Capitol riot.		
Rob Schneider Under Fire Over Travis Kelce Comment	"""Not true just more lies,"" one person wrote, while another added: ""Not sure Travis knows who Rob even is."""		
Dolly the Disruptor: The Queen of Country's Barrier-Breaking Milestones	A timeline of Dolly Parton's iconic career—when she pioneered the pop-country crossover, paved the way for female artists and showed the world compassion wins.		
Exclusive: Dolly Parton on Rock, Rhinestones and Her Genre-Busting Career	"The queen of country talks to Newsweek about her new rock album, iconic style and music industry breakthroughs: 'I just do what my heart tells me."""		
Mike Johnson Has Already Made His First Mistake	Speaker Johnson has caused controversy by demanding an IRS funding cut in return for aid to Israel.		
Americans Are Earning More Even as They Complain About the Economy	Wages are rising, but Americans still feel the economy is headed in the wrong direction.		
Bills QB Josh Allen Probably Did Not Call a 'Taylor Swift' Audible	"Astute fans watching the Thursday Night Football broadcast heard Josh Allen call an audible, but did he say ""Taylor Swift"" or ""J.R. Smith?"""		
Travis Kelce Goes Viral for Bizarre Game Behavior	A video of Travis Kelce barking at a Los Angeles Chargers player during the game on Sunday has gone viral, with fans divided over the footage.		
Lamar Jackson Leads the Best Performers of Week 7 in the NFL	Quarterbacks took the stage again this week, leading their teams to victory.		
NFL Week 7 Winners and Losers: Eagles Slow Down Dolphins Offense in SNF Win	The Eagles managed to mostly contain the top-ranked Dolphins offense in a 31-17 win on Sunday Night Football.		
The KC Chiefs Have a Ready-Made Insurance Policy for Nick Bolton's Injury	While seeing starting linebacker Nick Bolton go down injured isn't ideal, the Kansas City Chiefs are well positioned to cope with his absence.		
Travis Kelce Salary: How Much Does the Chiefs Tight End Make?	Travis Kelce is sitting squarely in the center of the pop-culture spotlight. Have you ever wondered about his earning power with the Chiefs?		
TIME’s Top 100 Photos of 2023	Did you see this photo??*link*Wow.Omg!! Follow this exchange with a dynamic discussion, hit repeat, and you have a pretty accurate snapshot of the TIME photo department’s typical Slack conversations. Even though we collectively scroll through thousands of pho…		
Pink to kick off 2024 UK tour in Cardiff	The singer says she's looking forward to helping celebrate 25 years of the Principality Stadium.		
Brazil records its hottest ever temperature	The town of Araçuaí in the country's southeast hit a high of 44.8C (112.6F) on Sunday.		
Robbie Williams fan dies after fall at Sydney concert	The woman in her 70s slipped and fell down six rows of seats, suffering serious head injuries.		
Taylor Swift appears out of breath at Rio concert	Video showed the singer gasping for air in between songs during her performance in the stifling heat.		
Taylor Swift postpones Rio de Janeiro concert after death of fan	The US pop star says she is putting safety first after temperatures in the Brazilian city reached 39.1C.		
Taylor Swift 'devastated' as fan dies before show	The pop star gave out water bottles to fans during the concert in Brazil, amid sweltering heat.		
The Beatles' hits albums denied number one (again)	The Fab Four's hopes of correcting a historic blip in their chart record are dashed by Taylor Swift.		
Taylor Swift gets 'heavenly' welcome from Christ the Redeemer	The famous statue in Rio de Janeiro is illuminated as the global pop sensation arrives on her Eras tour.		
NFL star Jason Kelce tops iTunes chart with new Christmas hit	The NFL star joined his brother Travis Kelce to reimagine the Christmas hit Fairytale of New York.		
Cardiff City Stadium to host Welsh rugby's Judgement Day	Welsh rugby's Judgement Day derby URC double-header will be held at Cardiff City Stadium on 1 June.		
Harry Styles haircut reveal in Vogue lights up debate	The former One Direction star confirms his famous mop top is History - and fans have strong thoughts.		
Aria Awards: Troye Sivan wins big and Kylie Minogue wins with Padam Padam	Kylie Minogue wins with Padam Padam at the Aria Awards, whilst Troye Sivan takes home four awards.		
The Las Vegas GP - a plan 40 years in the making	F1 is going all out to make an impression in Las Vegas, but what's the background to what promises to be an iconic race?		
Taylor Swift adds two more Wembley dates to Eras tour, equalling Take That record	The pop star adds two extra nights to her Eras tour, and matches a Wembley record set by Take That.		
